taxon_key,slot,source,id,note
itis:176817,photo,commons,"File:Alcatraz recreation yard, NW view.jpg",a building (the gull is incidental) — hand review 2026-09-11
worms:11716,photo,commons,"File:2017 AdultFamily Group 3rd Place Winner- Splash (420b279a-1dd8-b71b-0b28-2a390985ebf0).jpg",a sand sculpture — hand review 2026-09-11
worms:115088,photo,commons,File:Sea Foam - Harbinger of Change - Flickr - Akuppa.jpg,sea foam on a beach — hand review 2026-09-11
worms:110707,photo,gbif,1057412937,a museum accessions-register page — hand review 2026-09-11
itis:1255050,photo,commons,File:Puffinus gravis and Puffinus griseus.jpg,mostly great shearwaters — hand review 2026-09-11
worms:110707,photo,gbif,,every GBIF candidate is a museum accessions-register scan — hand review 2026-09-11
